Time:5/29/2020 2:44:00 PM	Open:302.4700	Close:302.3400	Volume:82343
Time:5/29/2020 2:43:00 PM	Open:302.5200	Close:302.4700	Volume:69586
Time:5/29/2020 2:42:00 PM	Open:302.5975	Close:302.5115	Volume:37699
Time:5/29/2020 2:41:00 PM	Open:302.3901	Close:302.5900	Volume:76033
Time:5/29/2020 2:40:00 PM	Open:302.5900	Close:302.4000	Volume:128846
Time:5/29/2020 2:39:00 PM	Open:302.6100	Close:302.5900	Volume:82112
Time:5/29/2020 2:38:00 PM	Open:302.5300	Close:302.6192	Volume:66901
Time:5/29/2020 2:37:00 PM	Open:302.6600	Close:302.5300	Volume:78557
Time:5/29/2020 2:36:00 PM	Open:302.7200	Close:302.6600	Volume:83364
Time:5/29/2020 2:35:00 PM	Open:302.8800	Close:302.7100	Volume:148104
Time:5/29/2020 2:34:00 PM	Open:302.8200	Close:302.9000	Volume:90950
Time:5/29/2020 2:33:00 PM	Open:302.6100	Close:302.8100	Volume:96729
Time:5/29/2020 2:32:00 PM	Open:302.7900	Close:302.6390	Volume:129133
Time:5/29/2020 2:31:00 PM	Open:302.8600	Close:302.7850	Volume:116812
Time:5/29/2020 2:30:00 PM	Open:302.8900	Close:302.8600	Volume:122664
Time:5/29/2020 2:29:00 PM	Open:302.9700	Close:302.9000	Volume:185810
Time:5/29/2020 2:28:00 PM	Open:302.5900	Close:302.9700	Volume:209084
Time:5/29/2020 2:27:00 PM	Open:302.5300	Close:302.5750	Volume:150072
Time:5/29/2020 2:26:00 PM	Open:302.4500	Close:302.5600	Volume:131981
Time:5/29/2020 2:25:00 PM	Open:302.4000	Close:302.4457	Volume:127237
Time:5/29/2020 2:24:00 PM	Open:302.1900	Close:302.3900	Volume:271084
Time:5/29/2020 2:23:00 PM	Open:302.2400	Close:302.1900	Volume:76281
Time:5/29/2020 2:22:00 PM	Open:302.3400	Close:302.2300	Volume:93566
Time:5/29/2020 2:21:00 PM	Open:302.4100	Close:302.3500	Volume:210708
Time:5/29/2020 2:20:00 PM	Open:302.3000	Close:302.3965	Volume:123083
Time:5/29/2020 2:19:00 PM	Open:302.1600	Close:302.2900	Volume:167427
Time:5/29/2020 2:18:00 PM	Open:301.9400	Close:302.1700	Volume:111576
Time:5/29/2020 2:17:00 PM	Open:301.9200	Close:301.9300	Volume:102824
Time:5/29/2020 2:16:00 PM	Open:301.9100	Close:301.9300	Volume:382052
Time:5/29/2020 2:15:00 PM	Open:302.1400	Close:301.9100	Volume:140172
Time:5/29/2020 2:14:00 PM	Open:302.0300	Close:302.1200	Volume:137079
Time:5/29/2020 2:13:00 PM	Open:302.3800	Close:302.0300	Volume:273075
Time:5/29/2020 2:12:00 PM	Open:302.5100	Close:302.3800	Volume:278347
Time:5/29/2020 2:11:00 PM	Open:302.3502	Close:302.5000	Volume:436726
Time:5/29/2020 2:10:00 PM	Open:302.0800	Close:302.3533	Volume:340483
Time:5/29/2020 2:09:00 PM	Open:301.5900	Close:302.0800	Volume:246535
Time:5/29/2020 2:08:00 PM	Open:301.9500	Close:301.5386	Volume:590013
Time:5/29/2020 2:07:00 PM	Open:301.0826	Close:301.9300	Volume:691599
Time:5/29/2020 2:06:00 PM	Open:301.0650	Close:301.0900	Volume:70619
Time:5/29/2020 2:05:00 PM	Open:301.2200	Close:301.0700	Volume:62375
Time:5/29/2020 2:04:00 PM	Open:301.3300	Close:301.2300	Volume:54136
Time:5/29/2020 2:03:00 PM	Open:301.4300	Close:301.3500	Volume:41088
Time:5/29/2020 2:02:00 PM	Open:301.2299	Close:301.4200	Volume:100854
Time:5/29/2020 2:01:00 PM	Open:301.1400	Close:301.2200	Volume:107340
Time:5/29/2020 2:00:00 PM	Open:301.2300	Close:301.1300	Volume:70934
Time:5/29/2020 1:59:00 PM	Open:301.1200	Close:301.2300	Volume:75389
Time:5/29/2020 1:58:00 PM	Open:301.0809	Close:301.1300	Volume:56054
Time:5/29/2020 1:57:00 PM	Open:301.1050	Close:301.0800	Volume:88536
Time:5/29/2020 1:56:00 PM	Open:301.0000	Close:301.1000	Volume:73877
Time:5/29/2020 1:55:00 PM	Open:300.8700	Close:301.0000	Volume:136144
Time:5/29/2020 1:54:00 PM	Open:301.0300	Close:300.8727	Volume:58058
Time:5/29/2020 1:53:00 PM	Open:301.0500	Close:301.0262	Volume:42477
Time:5/29/2020 1:52:00 PM	Open:300.9800	Close:301.0400	Volume:51624
Time:5/29/2020 1:51:00 PM	Open:301.0100	Close:300.9700	Volume:59058
Time:5/29/2020 1:50:00 PM	Open:301.1100	Close:301.0000	Volume:45429
Time:5/29/2020 1:49:00 PM	Open:301.0800	Close:301.1100	Volume:69663
Time:5/29/2020 1:48:00 PM	Open:300.9400	Close:301.0800	Volume:342825
Time:5/29/2020 1:47:00 PM	Open:300.8726	Close:300.9400	Volume:76077
Time:5/29/2020 1:46:00 PM	Open:300.9400	Close:300.8600	Volume:66814
Time:5/29/2020 1:45:00 PM	Open:300.9700	Close:300.9414	Volume:55850
Time:5/29/2020 1:44:00 PM	Open:301.0300	Close:300.9700	Volume:51110
Time:5/29/2020 1:43:00 PM	Open:301.1000	Close:301.0300	Volume:40926
Time:5/29/2020 1:42:00 PM	Open:300.9920	Close:301.1000	Volume:252992
Time:5/29/2020 1:41:00 PM	Open:300.9800	Close:300.9900	Volume:91555
Time:5/29/2020 1:40:00 PM	Open:301.0500	Close:300.9800	Volume:35740
Time:5/29/2020 1:39:00 PM	Open:300.9800	Close:301.0200	Volume:35864
Time:5/29/2020 1:38:00 PM	Open:301.0100	Close:301.0000	Volume:93495
Time:5/29/2020 1:37:00 PM	Open:301.1400	Close:301.0700	Volume:282840
Time:5/29/2020 1:36:00 PM	Open:301.3600	Close:301.1400	Volume:114457
Time:5/29/2020 1:35:00 PM	Open:301.5300	Close:301.3700	Volume:123230
Time:5/29/2020 1:34:00 PM	Open:301.4600	Close:301.5100	Volume:18536
Time:5/29/2020 1:33:00 PM	Open:301.3800	Close:301.4715	Volume:69300
Time:5/29/2020 1:32:00 PM	Open:301.4600	Close:301.3900	Volume:63269
Time:5/29/2020 1:31:00 PM	Open:301.4300	Close:301.4800	Volume:51391
Time:5/29/2020 1:30:00 PM	Open:301.4600	Close:301.4110	Volume:43897
Time:5/29/2020 1:29:00 PM	Open:301.5900	Close:301.4700	Volume:53596
Time:5/29/2020 1:28:00 PM	Open:301.4700	Close:301.5999	Volume:78008
Time:5/29/2020 1:27:00 PM	Open:301.3900	Close:301.4700	Volume:45241
Time:5/29/2020 1:26:00 PM	Open:301.4800	Close:301.3800	Volume:54163
Time:5/29/2020 1:25:00 PM	Open:301.5700	Close:301.4583	Volume:85115
Time:5/29/2020 1:24:00 PM	Open:301.7000	Close:301.5700	Volume:51013
Time:5/29/2020 1:23:00 PM	Open:301.5400	Close:301.6900	Volume:79169
Time:5/29/2020 1:22:00 PM	Open:301.4800	Close:301.5400	Volume:49477
Time:5/29/2020 1:21:00 PM	Open:301.5500	Close:301.5100	Volume:61808
Time:5/29/2020 1:20:00 PM	Open:301.4750	Close:301.5400	Volume:60407
Time:5/29/2020 1:19:00 PM	Open:301.4000	Close:301.4800	Volume:54826
Time:5/29/2020 1:18:00 PM	Open:301.5900	Close:301.3900	Volume:82720
Time:5/29/2020 1:17:00 PM	Open:301.7000	Close:301.5800	Volume:65929
Time:5/29/2020 1:16:00 PM	Open:301.6300	Close:301.6900	Volume:124956
Time:5/29/2020 1:15:00 PM	Open:301.7000	Close:301.6200	Volume:505478
Time:5/29/2020 1:14:00 PM	Open:301.8100	Close:301.7000	Volume:934306
Time:5/29/2020 1:13:00 PM	Open:301.6200	Close:301.8050	Volume:120523
Time:5/29/2020 1:12:00 PM	Open:301.3400	Close:301.6150	Volume:111535
Time:5/29/2020 1:11:00 PM	Open:301.3900	Close:301.3400	Volume:115792
Time:5/29/2020 1:10:00 PM	Open:301.5600	Close:301.3987	Volume:74463
Time:5/29/2020 1:09:00 PM	Open:301.4599	Close:301.5400	Volume:129019
Time:5/29/2020 1:08:00 PM	Open:301.1900	Close:301.4500	Volume:75763
